# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-2.0296985e-08	0.9969365	-9.555453e-10	0	0	0
0	-5.530412e-06	0.9962424	-1.3364271e-10	-3.061617e-18	-0.05	-3.061617e-18
0	-0.0076214187	0.9952407	-4.94478e-10	-6.123234e-18	-0.1	-6.123234e-18
0	-3.5047798e-09	-0.99814254	1.1225987e-09	-9.184851e-18	-0.15	-9.184851e-18
0	1.5669607e-09	-0.99838495	1.2696057e-10	-1.2246468e-17	-0.2	-1.2246468e-17
0	-6.080743e-10	-0.9985811	-9.2213465e-10	-1.5308086e-17	-0.25	-1.5308086e-17
0	-8.4863117e-10	-0.99874276	-1.2696057e-10	-1.8369703e-17	-0.3	-1.8369703e-17
0	-3.909049e-10	-0.9988774	2.6728542e-10	-2.1431318e-17	-0.35	-2.1431318e-17
0	2.271926e-10	-0.99899083	-7.350349e-11	-2.4492935e-17	-0.4	-2.4492935e-17
0	1.587007e-10	-0.9990876	2.8064967e-10	-2.7554553e-17	-0.45	-2.7554553e-17
0	3.608353e-10	-0.9991706	-4.009281e-10	-3.061617e-17	-0.5	-3.061617e-17
